trial,x_seed,noise_seed,noise_snr_db,algorithm,mse,nmse,snr_db,support_overlap,support_exact,success
4,20260715,2030071105,40,MP,2.3594868663314944e-06,0.00016881176353198744,37.72597293142693,8,1,1
5,20260716,2030071106,40,OMP,7.155296840127786e-08,5.762876932093403e-06,52.39360654804108,8,1,1
5,20260716,2030071106,40,GOMP,0.0008834750833722038,0.07115509379697577,11.477940045223015,7,0,0
5,20260716,2030071106,40,CoSaMP,7.155296840127608e-08,5.76287693209326e-06,52.39360654804118,8,1,1
5,20260716,2030071106,40,SP,7.155296840127608e-08,5.76287693209326e-06,52.39360654804118,8,1,1
5,20260716,2030071106,40,IHT,3.7720415323167134e-07,3.038002701939341e-05,45.17411844220163,8,1,1
5,20260716,2030071106,40,HTP,7.155296840127373e-08,5.76287693209307e-06,52.39360654804132,8,1,1
5,20260716,2030071106,40,GP,3.7720415323167134e-07,3.038002701939341e-05,45.17411844220163,8,1,1
5,20260716,2030071106,40,MP,1.4476849556415532e-06,0.00011659656366760006,39.33314248909687,8,1,1
6,20260717,2030071107,40,OMP,1.4691087736283383e-07,9.592313701099526e-06,50.180766267786055,8,1,1
6,20260717,2030071107,40,GOMP,1.4691087736283695e-07,9.59231370109973e-06,50.18076626778597,8,1,1
6,20260717,2030071107,40,CoSaMP,1.4691087736283214e-07,9.592313701099416e-06,50.18076626778611,8,1,1
6,20260717,2030071107,40,SP,1.4691087736283214e-07,9.592313701099416e-06,50.18076626778611,8,1,1
6,20260717,2030071107,40,IHT,0.0007321465657009609,0.04780435362890969,13.205325496031158,7,0,0
6,20260717,2030071107,40,HTP,1.4691087736283214e-07,9.592313701099416e-06,50.18076626778611,8,1,1
6,20260717,2030071107,40,GP,0.0007321465657009609,0.04780435362890969,13.205325496031158,7,0,0
6,20260717,2030071107,40,MP,3.2413101839241794e-06,0.0002116362290178184,36.744099854283164,8,1,1
7,20260718,2030071108,40,OMP,1.7828643997468644e-07,1.0564478727965338e-05,49.76151927021823,8,1,1
7,20260718,2030071108,40,GOMP,0.004271183866401796,0.25309177246591036,5.967219727031948,6,0,0
7,20260718,2030071108,40,CoSaMP,1.7828643997469017e-07,1.0564478727965558e-05,49.76151927021814,8,1,1
7,20260718,2030071108,40,SP,1.7828643997469017e-07,1.0564478727965558e-05,49.76151927021814,8,1,1
7,20260718,2030071108,40,IHT,2.7892604316657677e-06,0.000165279437411349,37.817811741010914,8,1,1
7,20260718,2030071108,40,HTP,1.7828643997468207e-07,1.0564478727965079e-05,49.76151927021833,8,1,1
7,20260718,2030071108,40,GP,2.7892604316657677e-06,0.000165279437411349,37.817811741010914,8,1,1
7,20260718,2030071108,40,MP,2.3686163446698636e-05,0.0014035389899270322,28.52775518280729,8,1,1
8,20260719,2030071109,40,OMP,2.889390988272485e-07,1.7087528158644465e-05,47.673207567469404,8,1,1
8,20260719,2030071109,40,GOMP,2.8893909882723737e-07,1.7087528158643808e-05,47.673207567469575,8,1,1
8,20260719,2030071109,40,CoSaMP,2.889390988272608e-07,1.7087528158645194e-05,47.67320756746922,8,1,1
8,20260719,2030071109,40,SP,2.889390988272608e-07,1.7087528158645194e-05,47.67320756746922,8,1,1
8,20260719,2030071109,40,IHT,4.489019403044549e-06,0.00026547547827747046,35.75975588106487,8,1,1
8,20260719,2030071109,40,HTP,2.889390988272608e-07,1.7087528158645194e-05,47.67320756746922,8,1,1
